date [mm-dd-yyyy]; recording company; matrix number; title; artist(s)
01-05-1927; Victor; BVE-37339; Drifting; Henry Burr ; Homer A. Rodeheaver
01-05-1927; Victor; BVE-37340; Closer to Jesus; Henry Burr ; Homer A. Rodeheaver
01-05-1927; Victor; BVE-37341; Where the gates swing outward never; Henry Burr ; Homer A. Rodeheaver
01-05-1927; Victor; CVE-37403; Quartet in D minor; Elman String Quartet
01-05-1927; Victor; CVE-37404; Quartet in D minor; Elman String Quartet
01-05-1927; Victor; CVE-37405; Quartet in D minor; Elman String Quartet
01-05-1927; Victor; CVE-37406; Quartet in D minor; Elman String Quartet
01-05-1927; Victor; BVE-37512; Cartago; Orquesta Internacional
01-05-1927; Victor; BVE-37513; Papillons noirs; Orquesta Internacional
01-05-1927; Victor; BVE-37514; Encaje de almagro; Orquesta Internacional
01-05-1927; Victor; BVE-37515; Lolita; Orquesta Internacional
01-05-1927; Victor; BVE-37516; Mar; Orquesta Internacional
01-05-1927; Victor; BVE-37517; De mi cosecha; Orquesta Internacional
01-05-1927; Victor; BVE-37518; Guabina santandereana; Orquesta Internacional
01-05-1927; Victor; BVE-37607; Mammy's little kinky-headed boy; The Silver-Masked Tenor
01-05-1927; Victor; BVE-37608; Dear heart, what might have been; The Silver-Masked Tenor
01-05-1927; Columbia; 143263; The Dixie vagabond; The Harmonizers
01-05-1927; Columbia; 143264; Sunday; The Harmonizers
01-05-1927; Okeh; W80288; It made you happy when you made me cry; Russell Douglas ; Lanin’s Famous Players
01-05-1927; Okeh; W80289; I gotta get myself somebody to love; Russell Douglas ; Lanin’s Famous Players
01-05-1927; Brunswick; E21116-E21117; Flower of my garden (Waltz); Castlewood Marimba Band
01-05-1927; Brunswick; E21118-E21120; Jealous (Celosa) (Waltz); Castlewood Marimba Band
01-05-1927; Edison; 11415; Roses for remembrance; Frederick Kinsley
01-05-1927; Edison; 11416; My sweetheart waltz; Frederick Kinsley
01-05-1927; Gennett; 12589; Johnny's gone to Cuba; John Hammond
01-05-1927; Gennett; 12590; The L & N brakeman; Clarence Gill
01-05-1927; Gennett; 12591; I'm as pretty little bird as I can be; John Hammond
01-05-1927; Gennett; 12592; It ain't no place for me; Clarence Gill
01-05-1927; Gennett; 12593; Little Corey; Clarence Gill
01-05-1927; Plaza; 7033; High-high-high up in the hills (Watching the clouds roll by); Bill Perry's Band ; Macy and Smalle
01-05-1927; Plaza; 7035; Blue skies; Irving Kaufman
01-05-1927; Plaza; 7037; I'm looking over a four leaf clover; Billy Jones ; Sam Lanin's Dance Orchestra
01-05-1927; Plaza; 7040; It all depends on you; Billy Hillpot ; Jack Pettis and his Orchestra ; Scrappy Lambert
01-05-1927; Plaza; 7041; Muddy water (A Mississippi moan); Jack Pettis and his Orchestra ; Scrappy Lambert
01-05-1927; Plaza; 7043; I gotta get myself somebody to love; Jack Pettis and his Orchestra
01-06-1927; Victor; BVE-37407; Moonbeam! Kiss her for me; B.F. Goodrich Silvertown Cord Orchestra ; Joseph M. Knecht ; The Silver-Masked Tenor
01-06-1927; Victor; BVE-37408; So will I; B.F. Goodrich Silvertown Cord Orchestra ; Joseph M. Knecht ; The Silver-Masked Tenor
01-06-1927; Victor; BVE-37519; Guabina santandereana; Orquesta Internacional
01-06-1927; Victor; BVE-37520; Fox de los besos; Orquesta Internacional
01-06-1927; Victor; BVE-37521; La dangereuse; Orquesta Internacional
01-06-1927; Victor; BVE-37609; Och jungfrun gick åt killan; Morton Sherdahl
01-06-1927; Victor; BVE-37610; Det stär ett ljus i Österland; Morton Sherdahl
01-06-1927; Victor; CVE-37700; Rienzi : Overture; Philadelphia Orchestra ; Leopold Stokowski
01-06-1927; Victor; CVE-37701; Rienzi : Overture; Philadelphia Orchestra ; Leopold Stokowski
