date [mm-dd-yyyy]; recording company; matrix number; title; artist(s)
02-15-1927; Edison; 11517; My lady's boudoir—Suite; B. A. Rolfe Concert Orchestra
02-15-1927; Plaza; 7111; My idea of heaven (Is to be in love with you); House band [Plaza/ARC] ; Irving Kaufman
02-15-1927; Columbia (U.K.); WAX2453; I know that my redeemer liveth, part 2; Dora Labbette ; Clarence Raybould
02-15-1927; Columbia (U.K.); WAX2457; Overture; Percy Pitt ; Wireless Symphony Orchestra
02-15-1927; Columbia (U.K.); WAX2458; Overture; Percy Pitt ; Wireless Symphony Orchestra
02-15-1927; Columbia (U.K.); WL385; Adolphine; Pierette Caillol ; Henry Laverne
02-15-1927; Columbia (U.K.); WL388; Je n'sais pas pourquoi; Henry Laverne
02-15-1927; Columbia (U.K.); WL389; C'est une femme comme vous; Henry Laverne
02-15-1927; Columbia (U.K.); WL390; Y'en a pour trois; Henry Laverne
02-16-1927; Victor; BVE-37443; Melodies; A. Paul Capp Orchestra
02-16-1927; Victor; BVE-37782; Mi vals; Orquesta Internacional
02-16-1927; Victor; BVE-37783; Julia; Orquesta Internacional
02-16-1927; Victor; BVE-37784; La calesera : Pasa calle; Orquesta Internacional
02-16-1927; Victor; BVE-37785; Le tango du rêve; Juan Pulido
02-16-1927; Victor; BVE-37786; 'Way after one and my daddy ain't come home yet; Edna Winston
02-16-1927; Victor; BVE-37787; Joogie blues; Edna Winston
02-16-1927; Victor; BVE-37788; Ever after on; Edna Winston
02-16-1927; Victor; BVE-37789; Rent man blues; Edna Winston
02-16-1927; Victor; BVE-37819; Stompin' the bug; Fats Waller
02-16-1927; Victor; BVE-37820; Hog-maw stomp; Fats Waller
02-16-1927; Victor; BVE-37821; Black bottom is the latest fad; Fats Waller
02-16-1927; Victor; BVE-37822; Blue black bottom; Fats Waller
02-16-1927; Victor; BVE-37900; When the flowers bloom in springtime; Richard Brooks ; Ruben Puckett
02-16-1927; Victor; BVE-37901; Hello Central, give me heaven; Richard Brooks ; Ruben Puckett
02-16-1927; Victor; BVE-37902; Good bye, my blue bell; Richard Brooks ; Ruben Puckett
02-16-1927; Victor; BVE-37903; Something's going to happen; Richard Brooks ; Ruben Puckett
02-16-1927; Victor; BVE-37904; Purer in heart; Calhoun Sacred Quartet
02-16-1927; Victor; BVE-37905; Life's railway to heaven; Calhoun Sacred Quartet
02-16-1927; Victor; BVE-37906; Just outside the door; Calhoun Sacred Quartet
02-16-1927; Victor; BVE-37907; The church in the wildwood; Calhoun Sacred Quartet
02-16-1927; Columbia; W143404; When you dream, dream of me; Jackie Souders Orchestra
02-16-1927; Columbia; W143405; Maybe sometime; Jackie Souders Orchestra ; Walton McKinney
02-16-1927; Columbia; W143480; The black snake moan; Martha Copeland
02-16-1927; Columbia; W143481; Mine's just as good as yours; Martha Copeland
02-16-1927; Columbia; W143482; The cat; Harry Reser's Syncopators ; Tom Stacks
02-16-1927; Columbia; W143483; I wonder how I look when I'm asleep; Harry Reser's Syncopators ; Tom Stacks
02-16-1927; Columbia; 143484; Hello cutie; Jane Gray
02-16-1927; Columbia; 143485; Hoosier sweetheart; Rube Bloom ; Jane Gray
02-16-1927; Columbia; 143486; I've never seen a straight banana; Jane Gray
02-16-1927; Columbia; 143487; 'Deed I do; Rube Bloom ; Jane Gray
02-16-1927; Okeh; W80429; All that I had is gone; Perry Bradford and his Gang
02-16-1927; Okeh; W80430; Lucy Long; Perry Bradford and his Gang
02-16-1927; Okeh; W80431; Stella napuli; Carlo Betro
02-16-1927; Okeh; W80432; Maggio 'ncantatori; Carlo Betro
02-16-1927; Brunswick; E21513-E21515; Look up and smile; Park Lane Orchestra
02-16-1927; Brunswick; E21516-E21518; If you see Sally; Prince Piotti
02-16-1927; Brunswick; E21519-E21521; Have you forgotten?; Prince Piotti
02-16-1927; Brunswick; E21522-E21523; Blue skies; The Merrymakers
02-16-1927; Edison; 11522; Homing; Alma Petersen
02-16-1927; Edison; 11523; Mammy's little kinky-headed boy; Mimi Gressier
02-16-1927; Edison; 11524; A birthday; Alma Petersen
02-17-1927; Victor; BVE-37790; Muddy water; International Novelty Orchestra
02-17-1927; Victor; BVE-37791; Huguette; Victor Orchestra
02-17-1927; Victor; BVE-37792; I can't believe that you're in love with me; Johnny Marvin
02-17-1927; Victor; BVE-37793; Strum my blues away; Johnny Marvin
02-17-1927; Victor; CVE-37794; How do you do, friends in Sweden; S. K. F. Quartet
02-17-1927; Victor; CVE-37823; O tu Palermo!; Ezio Pinza
02-17-1927; Victor; BVE-37824; Vecchia zimarra; Ezio Pinza
02-17-1927; Victor; CVE-37825; Dormirò sol nel manto; Ezio Pinza
02-17-1927; Victor; BVE-37826; L'ultima canzone; Ezio Pinza
02-17-1927; Victor; BVE-37908; Down where the watermelon grows; Ernest Moody ; Phil Reeve
02-17-1927; Victor; BVE-37909; Rock all our babies to sleep; Ernest Moody ; Phil Reeve
02-17-1927; Victor; BVE-37910; Lost mamma blues; Homer Christopher ; Raney Van Vink
02-17-1927; Victor; BVE-37911; Sleep, baby, sleep; Homer Christopher ; Raney Van Vink
02-17-1927; Victor; BVE-37912; Waiting for the Robert E. Lee; Homer Christopher ; Raney Van Vink
02-17-1927; Victor; BVE-37913; Going slow; Homer Christopher ; Raney Van Vink
02-17-1927; Victor; BVE-37914; Mr. Rogers and Mr. Kay; Lambdin Kay ; Ernest Rogers
02-17-1927; Victor; BVE-37915; Willie, the chimney sweeper; Ernest Rogers
02-17-1927; Victor; BVE-37916; Couldn't hear nobody pray; Emory University Glee Club
02-17-1927; Victor; BVE-37917; Steal away to Jesus; Emory University Glee Club
02-17-1927; Columbia; W143406; At dawning; George Lipschultz
02-17-1927; Columbia; W143407; Serenade; George Lipschultz
02-17-1927; Columbia; W143408; Promise; Jackie Souders Orchestra
02-17-1927; Columbia; W143410; Gonna get a girl; Jackie Souders Orchestra ; Walton McKinney
02-17-1927; Columbia; W143488; Oriental moonlight; Johnny Morris ; Paul Specht Orchestra
02-17-1927; Columbia; W143489; I'm looking over a four leaf clover; Johnny Morris ; Paul Specht Orchestra
02-17-1927; Columbia; W143490; Preachin' the blues; James P. Johnson ; Bessie Smith
02-17-1927; Columbia; W143491; Back water blues; James P. Johnson ; Bessie Smith
02-17-1927; Columbia; W143492; Mine; Lewis James ; Harold Leonard ; Waldorf-Astoria Orchestra
02-17-1927; Columbia; W143493; Roses for remembrance; Franklyn Baur ; Harold Leonard ; Waldorf-Astoria Orchestra
02-17-1927; Columbia; 143494; No-one but you knows how to love; Beth Challis ; Eddie Lambert
02-17-1927; Columbia; 143495; Yes Flo! (The gal who never says "no"); Beth Challis ; Eddie Lambert
02-17-1927; Okeh; W80433; The lass of Barramore; Halpin, George
02-17-1927; Okeh; W80434; The frost on the heather; Halpin, George
02-17-1927; Okeh; W80435; Miss Ramsey's fling; Halpin, George
02-17-1927; Okeh; W80436; Connie the soldier; Halpin, George
02-17-1927; Okeh; W80437; Cheatin' daddy; Lethia Hill
02-17-1927; Okeh; W80438; I've never seen a straight banana; The Happiness Boys
02-17-1927; Okeh; W80439; That's my hap-hap-happiness; The Happiness Boys
02-17-1927; Okeh; W80440; My good Lord's done been here; Perfect Harmony Quartette
02-17-1927; Okeh; W80441; There's a meetin' here tonight; Perfect Harmony Quartette
02-17-1927; Brunswick; E4545-E4547; I'm looking over a four-leaf clover; Peggy English
02-17-1927; Brunswick; E4548-E4550; It all depends on you; Peggy English
02-17-1927; Brunswick; E21524-E21526; It all depends on you; Ben Bernie ; Hotel Roosevelt Orchestra
02-17-1927; Brunswick; E21527-E21529; Underneath the weeping willow; Ben Bernie ; Hotel Roosevelt Orchestra
02-17-1927; Brunswick; E21530-E21532; Habanera; Sigrid Onégin
02-17-1927; Brunswick; E21532-E21533; Seguidilla; Sigrid Onégin
02-17-1927; Edison; 11525; Indian butterfly; Al Lynn ; Music Masters
02-17-1927; Edison; 11526; What makes my baby cry; Al Lynn ; Music Masters
02-17-1927; Edison; 11527; I love thee; Alma Petersen
02-17-1927; Edison; 11528; When I was seventeen; Alma Petersen
02-18-1927; Victor; BVE-37795; You went away too far (And stayed away too long); Jane Green
02-18-1927; Victor; BVE-37796; I'm gonna meet sweetie now; Jane Green
02-18-1927; Victor; BVE-37797; Sanfarinfas; Orquesta Internacional
02-18-1927; Victor; BVE-37798; Vírgenes cautivas; Orquesta Internacional
02-18-1927; Victor; BVE-37799; Lávate la cara; Orquesta Internacional
02-18-1927; Victor; BVE-37827; Oh how we love our alma mater; Billy Murray ; Monroe Silver
02-18-1927; Victor; BVE-37828; I wonder how I look when I'm asleep; Billy Murray
02-18-1927; Victor; BVE-37829; Majsang; August Werner
02-18-1927; Victor; BVE-37830; Solvart; August Werner
02-18-1927; Victor; CVE-37918; Going home; George C. Baker
02-18-1927; Victor; BVE-37919; Pass around the bottle; Georgia Yellow Hammers
02-18-1927; Victor; BVE-37920; Going to ride that midnight train; Georgia Yellow Hammers
02-18-1927; Victor; BVE-37921; Johnson's old grey mule; Georgia Yellow Hammers
02-18-1927; Victor; BVE-37922; Fourth of July at the country fair; Georgia Yellow Hammers
02-18-1927; Victor; BVE-37923; Go down Moses; Big Bethel Choir
02-18-1927; Victor; BVE-37924; Swing low, sweet chariot; Big Bethel Choir
02-18-1927; Victor; BVE-37925; Hand me down the silver trumpet, Gabriel; Big Bethel Choir
02-18-1927; Victor; BVE-37926; Standing in the need of prayer; Big Bethel Choir
02-18-1927; Columbia; W143409; The skaters' waltz; Johnnie Sylvester
02-18-1927; Columbia; W143411; The wallabies march; Johnnie Sylvester
02-18-1927; Columbia; W143496; I could waltz on forever with you, sweetheart; The Cavaliers ; Billy Jones
02-18-1927; Columbia; W143497; Your land and my land; Columbia Male Chorus
02-18-1927; Columbia; W98316; Studio stunts; Columbia Artists
02-18-1927; Columbia; W98317; Rondo capricciosio, part 1; Ethel Leginska
02-18-1927; Columbia; W98318; Rondo capricciosio, part 2; Ethel Leginska
02-18-1927; Okeh; W80442; I've never seen a straight banana; Jazz Pilots ; Harry Reser
02-18-1927; Okeh; W80443; Oh, baby! Don't we get along; Jazz Pilots ; Harry Reser
02-18-1927; Okeh; W80444; For Mary and me; Ray-O-Vacs
02-18-1927; Okeh; W80445; When I first met Mary; Ray-O-Vacs
02-18-1927; Brunswick; E21536; Rio Rita; Carl Fenton’s Orchestra
02-18-1927; Brunswick; C669-C674; Blue skies; Lew White
02-18-1927; Brunswick; C675-C678; It all depends on you; Lew White
02-18-1927; Brunswick; C679-C684; Honolulu moon; Lew White
02-18-1927; Brunswick; E21534-E21535; Rio Rita; Carl Fenton’s Orchestra
02-18-1927; Brunswick; E21537-E21537½; Following the sun around; Carl Fenton’s Orchestra
02-18-1927; Brunswick; E21538-E21540; Serenade to Zanetto; Sigrid Onégin ; Franz Rupp
02-18-1927; Brunswick; E21541-E21543; Open your blue eyes; Fredric Fradkin ; Sigrid Onégin ; Franz Rupp
02-18-1927; Brunswick; C664-C668; Trail of dreams; Lew White
02-18-1927; Edison; 11529; The kinkajou; Cass Hagan Orchestra
02-18-1927; Edison; 11530; It all depends on you; Cass Hagan Orchestra ; Arthur Fields
02-19-1927; Victor; BVE-37683; American speech : Neighborhood of Boston, Mass.; Joseph M. Murphy
02-19-1927; Victor; BVE-37831; Estrellita; LeRoy Shield
02-19-1927; Victor; BVE-37832; Secreto eterno; LeRoy Shield
02-19-1927; Victor; BVE-37927; There ain't no use working so hard; Carolina Tar Heels
02-19-1927; Victor; BVE-37928; Her name was Hula Lou; Carolina Tar Heels
02-19-1927; Victor; BVE-37929; Bring me a leaf from the sea; Carolina Tar Heels
02-19-1927; Victor; BVE-37930; I'm going to Georgia; Carolina Tar Heels
02-19-1927; Victor; BVE-37931; My mamma was a sailor; Julius Daniels ; Bubba Lee Torrence
02-19-1927; Victor; BVE-37932; Ninety-nine year blues; Julius Daniels
02-19-1927; Victor; BVE-37933; I'm goin' to tell God how you doin'; Julius Daniels ; Bubba Lee Torrence
02-19-1927; Victor; BVE-37934; Slippin' an' slidin' up the golden street; Julius Daniels ; Bubba Lee Torrence
02-19-1927; Columbia; W143412; That haunting waltz; Cole McElroy's Spanish Ball Room Band ; Jimmie Davis
02-19-1927; Columbia; W143413; Cuddle closer; Campus Four ; Cole McElroy's Spanish Ball Room Band
02-19-1927; Columbia; W143414; My co-ed; Monte Austin ; Cole McElroy's Spanish Ball Room Band
02-19-1927; Columbia; W143415; Destiny; Cole McElroy's Spanish Ball Room Band
02-19-1927; Columbia; W143416; I'm back in love again; Alan "Punch" Green
02-19-1927; Columbia; W143417; All I want is you; Alan "Punch" Green
02-19-1927; Columbia; W143498; Hoosier sweetheart (Say who); Columbians ; Charles Kaley
02-19-1927; Columbia; W143499; Desert eyes; Columbians ; Charles Kaley
02-19-1927; Okeh; W80446; Kwiecisty i wonny maj; Józef Kallini
02-19-1927; Okeh; W80447; Do wuja starca; Józef Kallini
02-19-1927; Okeh; W80448; Panienki sie chlubia; Józef Kallini
02-19-1927; Okeh; W80449; Krakowianin; Józef Kallini
02-19-1927; Brunswick; E21544-E21545; The music healer; Huston Ray
02-19-1927; Brunswick; E21546-E21547; The old refrain; Huston Ray
02-19-1927; Brunswick; E21548-E21549; Etude of moods; Huston Ray
02-19-1927; Brunswick; E21550-E21551; Minute miracle waltz; Huston Ray
02-19-1927; Brunswick; E21552-E21553; The musical miracle; Huston Ray
02-19-1927; Brunswick; E21554-E21555; Etude in contrasts; Huston Ray
02-19-1927; Edison; 11532; You in a gondola; Alma Petersen
02-19-1927; Edison; 11533; Without thee; Alma Petersen
02-19-1927; Edison; 12029; Hello bluebird—Fox trot; Hotel Commodore Dance Orchestra ; Kaplan's Melodists ; Ross Gorman Orchestra
02-19-1927; Gramophone; BJ575; Fosforerita; Francisco Spaventa
02-21-1927; Victor; CVE-37833; Gems from Rio Rita; Victor Light Opera Company
02-21-1927; Victor; CVE-37834; Gems from My Maryland; Victor Light Opera Company
02-21-1927; Victor; CVE-37935; Abraham have mercy on me; Rev. William Ransom
02-21-1927; Victor; BVE-37936; Can these things be?; Rev. William Ransom
02-21-1927; Victor; CVE-37937; He shall speak for himself; Rev. William Ransom
02-21-1927; Victor; BVE-37938; The word was God; Rev. William Ransom
02-21-1927; Victor; BVE-37939; What did he do; Sheffield Male Quartet
02-21-1927; Victor; BVE-37940; Christ arose; Sheffield Male Quartet
02-21-1927; Victor; BVE-38100; Nita Gitana; Thayer Burgess
02-21-1927; Victor; BVE-38101; The adventurer; Shubert Theatrical Corporation
02-21-1927; Victor; Trial 1927-02-21-01; Oh Lawdy; Marguerite Cartwright
02-21-1927; Victor; Trial 1927-02-21-02; Aloha oe; Charles Wold
02-21-1927; Victor; Trial 1927-02-21-03; Silver threads among the gold; Charles Wold
02-21-1927; Columbia; W143500; The Irish counties, part 1; The Erin Boys Orchestra
02-21-1927; Columbia; W143501; The Irish counties, part 2; The Erin Boys Orchestra
02-21-1927; Columbia; 143502; The Dixie vagabond; Irving Kaufman ; Lou Gold Orchestra
02-21-1927; Columbia; 143503; Hello cutie; Lou Gold Orchestra ; Jack Wilson
02-21-1927; Columbia; 143504; You know—I know ev'rything's made for love; Lou Gold Orchestra
02-21-1927; Columbia; W143505; Moonbeam! Kiss her for me; Dorothea Ponce ; Ethel Ponce
02-21-1927; Columbia; W143506; Honolulu moon; Dorothea Ponce ; Ethel Ponce
02-21-1927; Columbia; W143507; I've never seen a straight banana; Ernest Hare ; Billy Jones
02-21-1927; Columbia; W143508; Take your finger out of your mouth (I want a kiss from you); Ernest Hare ; Billy Jones
02-21-1927; Columbia; 143509; I've never seen a straight banana; The Harmonians [Selvin's Orchestra] ; Irving Kaufman
02-21-1927; Columbia; 143510; Mine; The Harmonians [Selvin's Orchestra] ; Irving Kaufman
02-21-1927; Columbia; 143511; Lily; Harmonians [Selvin's Orchestra] ; Irving Kaufman
02-21-1927; Okeh; W80450; Billy the Kid; Vernon Dalhart
02-21-1927; Okeh; W80451; Barbara Allen; Tobe Little
02-21-1927; Okeh; W80452; Song of the wanderer; Vernon Dalhart
02-21-1927; Okeh; W80453; The shadow song; Vernon Dalhart ; Carson Robison
02-21-1927; Okeh; W80454; High-high-high up in the hills; Ray-O-Vacs
02-21-1927; Okeh; W80455; Rock me to sleep in an old rocking chair; Ray-O-Vacs
02-21-1927; Okeh; W80456; Ize heruvimi; Steva Obradovich
02-21-1927; Okeh; W80457; Jako da Zaria; Steva Obradovich
02-21-1927; Okeh; W80458; Voskresenie Christovo; Steva Obradovich
02-21-1927; Okeh; W80459; Hristos voskres; Steva Obradovich
02-21-1927; Okeh; W80460; Hand me down my walking cane; Dixie Entertainers ; Earl Johnson
02-21-1927; Okeh; W80461; Ain't nobody's business; Dixie Entertainers ; Earl Johnson
02-21-1927; Okeh; W80462; Dixie; Dixie Entertainers ; Earl Johnson
02-21-1927; Okeh; W80463; Hen cackle; Dixie Entertainers ; Earl Johnson
02-21-1927; Okeh; W80464; Bully of the town; Dixie Entertainers ; Earl Johnson
02-21-1927; Okeh; W80465; I'm satisfied; Dixie Entertainers ; Earl Johnson
02-21-1927; Okeh; W80466; Three nights' experience; Dixie Entertainers ; Earl Johnson
02-21-1927; Okeh; W80467; Johnson's old grey mule; Dixie Entertainers ; Earl Johnson
02-21-1927; Brunswick; E21556-E21557; I'm so glad trouble don't last always; West Virginia Collegiate Institute Glee Club
02-21-1927; Brunswick; E21558-E21559; Blow, Gabriel, blow; West Virginia Collegiate Institute Glee Club
02-21-1927; Brunswick; E21560-E21561; Peter on the sea; West Virginia Collegiate Institute Glee Club
02-21-1927; Brunswick; E21562-E21563; I know I have another building; West Virginia Collegiate Institute Glee Club
02-21-1927; Brunswick; E21564-E21565; Shout all over God's heab'n; West Virginia Collegiate Institute Glee Club
02-21-1927; Brunswick; E21566-E21567; Ezekial saw de wheel; West Virginia Collegiate Institute Glee Club
02-21-1927; Brunswick; E21568-E21569; Walk in Jerusalem just like John; West Virginia Collegiate Institute Glee Club
02-21-1927; Brunswick; E21570-E21571; Oh! Mary don't you weep; West Virginia Collegiate Institute Glee Club
02-21-1927; Brunswick; E21572-E21574; So blue; Casa Lopez Orchestra ; Vincent Lopez
02-21-1927; Brunswick; E21575-E21576; What does it matter?; Casa Lopez Orchestra ; Vincent Lopez
02-21-1927; Brunswick; E21577-E21578; Dizzy fingers; The Woodwind Trio
02-21-1927; Brunswick; E21579-E21581; Snowflakes; The Woodwind Trio
02-21-1927; Edison; 11534; Down in the old neighborhood; National Male Quartet
02-21-1927; Gramophone; BWR800; A night in Venice : Ouverture; Staatskapelle Berlin ; Ernst Viebig
02-21-1927; Gramophone; BWR801; A night in Venice : Ouverture; Staatskapelle Berlin ; Ernst Viebig
02-22-1927; Victor; BVE-37684; Who is Sylvia?; Royal Dadmun
02-22-1927; Victor; BVE-37685; I attempt from Love's sickness to fly; Royal Dadmun
02-22-1927; Victor; BVE-37686; Caro mio ben; Royal Dadmun
02-22-1927; Victor; BVE-38102; Dizzy fingers; Max Kortlander
02-22-1927; Victor; BVE-38103; Spring fever; Max Kortlander
02-22-1927; Victor; Trial 1927-02-22-01; What the chimney sang; Dagmar Perkins
02-22-1927; Victor; Trial 1927-02-22-02; A lesson on diction; Dagmar Perkins
02-22-1927; Victor; Trial 1927-02-22-03; Bird's eye view of my old Kentucky home; Buddy Doyle
02-22-1927; Okeh; W80468; Get right with God; Deacon Leon Davis ; Rev. J. M. Gates ; Sisters Jordan and Norman
02-22-1927; Okeh; W80469; Praying for the mourners; Deacon Leon Davis ; Rev. J. M. Gates ; Sisters Jordan and Norman
02-22-1927; Okeh; W80470; Jonah and the whale; Deacon Leon Davis ; Rev. J. M. Gates ; Sisters Jordan and Norman
02-22-1927; Okeh; W80471; Sisters' prayer meeting; Deacon Leon Davis ; Rev. J. M. Gates ; Sisters Jordan and Norman
02-22-1927; Okeh; W80472; Noah and the flood; Deacon Leon Davis ; Rev. J. M. Gates ; Sisters Jordan and Norman
02-22-1927; Okeh; W80473; Rich man and the needle's eye; Deacon Leon Davis ; Rev. J. M. Gates ; Sisters Jordan and Norman
02-22-1927; Okeh; W80474; Do, my Lord, remember me; Deacon Leon Davis
02-22-1927; Okeh; W80475; Some of you members; Deacon Leon Davis
02-22-1927; Gramophone; BJ587; Fado da montanha; José Diaz
02-22-1927; Columbia (U.K.); WAX1938; Serenade; Performer(s) unidentified (Columbia Records U.K.)
02-23-1927; Victor; BVE-24782; Dai campi, dai prati; Beniamino Gigli
02-23-1927; Victor; BVE-24783; Giunto sul passo estremo; Beniamino Gigli
02-23-1927; Victor; BVE-37835; Addio a Napoli; Beniamino Gigli
02-23-1927; Victor; BVE-38104; Silver moon; Paul Whiteman Orchestra
02-23-1927; Victor; BVE-38105; Your land and my land; Paul Whiteman Orchestra
02-23-1927; Victor; BVE-38106; That's my hap-hap-happiness; The Happiness Boys
02-23-1927; Victor; BVE-38107; Cock-a-doodle, I'm off my noodle; The Happiness Boys
02-23-1927; Victor; BVE-38111; Baciami! Baciami! Ancora!; Sestetto Italiano Tafarella
02-23-1927; Victor; BVE-38112; La regina delle rose; Sestetto Italiano Tafarella
02-23-1927; Victor; BVE-38113; O tu che sorridi!; Sestetto Italiano Tafarella
02-23-1927; Victor; BVE-38114; Mariuncella; Sestetto Italiano Tafarella
02-23-1927; Victor; Trial 1927-02-23-01; Ever of thee I'm fondly dreaming; Helen Gahagan Douglas
02-23-1927; Victor; Trial 1927-02-23-02; Vepusiu vargai; B. Nekrasas
02-23-1927; Victor; Trial 1927-02-23-03; Atsigeria u arielkyres; B. Nekrasas
02-23-1927; Victor; Trial 1927-02-23-04; Isbego mergyte; B. Nekrasas
02-23-1927; Victor; Trial 1927-02-23-05; Oi skaudagaluele; B. Nekrasas
02-23-1927; Columbia; 143512; A tree in the park; Astorites
02-23-1927; Columbia; 143513; Who do you love?; Astorites ; Irving Kaufman
02-23-1927; Columbia; 143514; I'll take care of your cares; Astorites ; Irving Kaufman
02-23-1927; Columbia; W143515; Where's that rainbow?; Singing Sophomores
02-23-1927; Okeh; W80476; Rio Rita; Russell Douglas [Les Reis] ; Lanin’s Famous Players
02-23-1927; Okeh; W80477; The kinkajou; Russell Douglas [Les Reis] ; Lanin’s Famous Players
02-23-1927; Okeh; W80478; Shanghai dream man; Irwin Abrams Orchestra
02-23-1927; Okeh; W80479; My Sunday girl; Irwin Abrams Orchestra
02-23-1927; Okeh; W80480; Collette; Irwin Abrams Orchestra
02-23-1927; Brunswick; E4557-E4559; I'm only another to you; Joe Davis
02-23-1927; Brunswick; E4560-E4562; I'm longing for my old gal Sal; Joe Davis
02-23-1927; Brunswick; E21582-E21584; El ultimo tango; Castilians
02-23-1927; Brunswick; E21585-E21587; Fox de los besos; Castilians
02-23-1927; Brunswick; E21588-E21590; Sentencia; Pilar Arcos ; Castilians
02-23-1927; Brunswick; E21591-E21593; Fumando espero; Pilar Arcos ; Castilians
02-23-1927; Brunswick; C701-C702; Milenberg joys; Rodney Rogers’ Red Peppers
02-23-1927; Brunswick; C703-C704; ‘Deed I do; Rodney Rogers’ Red Peppers
02-23-1927; Edison; 11535; Just an ivy covered shack; Walter Scanlan
02-23-1927; Edison; 11536; All men are devils; Al Bernard
02-23-1927; Gramophone; BW808; Trinkt man auf Du und Du; Marek Weber Orchestra
02-23-1927; Gramophone; CW812; Christmas potpourri, part 1; Ferdy Kauffman Orchestra
02-23-1927; Gramophone; CW813; Christmas potpourri, part 2; Ferdy Kauffman Orchestra
02-23-1927; Gennett; 12600; Dixieland stomp; Melrose Dixieland Thumpers
02-23-1927; Gennett; 12601; Nickety nackety now now now; Chubby Parker
02-23-1927; Gennett; 12602; Little brown jug; Chubby Parker
02-23-1927; Gennett; 12603; Whoa mule whoa; Chubby Parker
02-23-1927; Gennett; 12604; Oh Susanna; Chubby Parker
02-23-1927; Gennett; 12605; I'm a stern old bachelor; Chubby Parker
02-23-1927; Gennett; 12606; Bib-a-lollie boo; Chubby Parker
02-23-1927; Gennett; 12607; New Orleans mojo blues; Katie Winters
02-24-1927; Victor; CVE-37836; Ah Mimì, tu più; Giuseppe De Luca ; Beniamino Gigli
02-24-1927; Victor; CVE-37837; Solenne in quest'ora; Giuseppe De Luca ; Beniamino Gigli
02-24-1927; Victor; BVE-37941; Sun brimmers; Memphis Jug Band
02-24-1927; Victor; BVE-37942; Stingy woman; Memphis Jug Band
02-24-1927; Victor; BVE-37943; Memphis jug; Memphis Jug Band
02-24-1927; Victor; BVE-37944; Newport News blues; Memphis Jug Band
02-24-1927; Victor; BVE-37945; Rock away; Sadie McKinney
02-24-1927; Victor; BVE-37946; Brownskin flapper; Sadie McKinney
02-24-1927; Victor; BVE-38108; Miramar; International Novelty Orchestra
02-24-1927; Victor; BVE-38109; Mussolini; International Novelty Orchestra
02-24-1927; Victor; BVE-38110; The desert song; Victor Orchestra
00-00-1927; Columbia; W143516; When it's springtime in Killarney, I'll come back to you; Michael Ahern
00-00-1927; Columbia; W143517; Wearin' of the green; Michael Ahern
02-24-1927; Columbia; 143518; My regular gal; Arthur Fields ; The Westerners
02-24-1927; Columbia; 143519; That's my hap-hap-happiness; Broadway Bellhops
02-24-1927; Columbia; 143520; Nesting time; Broadway Bellhops
02-24-1927; Columbia; W143521; Down Kentucky way; Wendell W. Hall
02-24-1927; Columbia; W143522; Hot feet; Wendell W. Hall
02-24-1927; Columbia; W143523; The old rustic bridge by the mill; James Egan
02-24-1927; Columbia; W143524; That's an Irish lullaby; James Egan
02-24-1927; Columbia; W143525; Blue skies; The Artist Ensemble
02-24-1927; Columbia; W143527; Bonnie Kate; James Claffy
02-24-1927; Columbia; W143530; The roving piper : Reel; James Claffy
02-24-1927; Columbia; W143535; Blue skies; The Artist Ensemble
02-24-1927; Columbia; W143536; Tonight you belong to me; The Artist Ensemble
02-24-1927; Brunswick; E4587-E4589; Sleepy blues; The Five Harmaniacs
02-24-1927; Brunswick; E4590-E4591; I'm just wild about my sweet gal; The Five Harmaniacs
02-24-1927; Brunswick; E4592-E4594; Brown sugar; Hal Kemp Orchestra
02-24-1927; Brunswick; E4595-E4597; A little girl—a little boy—a little moon; Hal Kemp Orchestra
02-24-1927; Brunswick; E21600-E21602; Hawaiian love bird; Margaret McKee
02-24-1927; Brunswick; E21603-E21605; Sapphische Ode; Sigrid Onégin
02-24-1927; Brunswick; E21606-E21607; Auf dem Kirchhofe; Sigrid Onégin
02-24-1927; Brunswick; E21608-E21609; Caro mio ben; Sigrid Onégin
02-24-1927; Brunswick; E21610-E21611; Dormi pure!; Sigrid Onégin
02-24-1927; Brunswick; C705-C706; Why can’t you find time for me; Benny Krueger’s Orchestra
02-24-1927; Brunswick; C707-C708; Hoosier sweetheart; Benny Krueger’s Orchestra
02-24-1927; Brunswick; C709-C710; Black bottom; Ford L. Buck
02-24-1927; Brunswick; C711-C712; Rhapsody junior; Ford L. Buck
02-24-1927; Brunswick; C713-C714; The girl friend; Ford L. Buck
02-24-1927; Edison; 11537; Lonely eyes; Arthur Fields ; Golden Gate Orchestra [California Ramblers]
02-24-1927; Edison; 11538; Look at the world and smile; Arthur Fields ; Golden Gate Orchestra [California Ramblers]
02-24-1927; Edison; 18258; Lip-stick; Muriel Pollock
02-24-1927; Gennett; 12608; Indian brown blues; Katie Winters
02-24-1927; Columbia (U.K.); WAX2461; Latavia; Ernest Irving ; Modern Theatre Orchestra ; John Steele
02-24-1927; Columbia (U.K.); WAX2462; Lantern of love; Helen Gilliland ; Ernest Irving ; Modern Theatre Orchestra
02-24-1927; Columbia (U.K.); W44208; Et pihallamme leikkiä saa; Zaza Band
02-25-1927; Victor; BVE-37687; Kamennoi-ostrow; Paul H. Sechrist
02-25-1927; Victor; BVE-37838; My little nest of heavenly blue; Maria Jeritza
